url,status_code,error,final_url
https://agathario.github.io/ficArchive/archive/60017602_the_witchy_ceo.html,200,,https://agathario.github.io/ficArchive/archive/60017602_the_witchy_ceo.html
https://agathario.github.io/ficArchive/archive/60045475_a_kingdom_by_the_night.html,200,,https://agathario.github.io/ficArchive/archive/60045475_a_kingdom_by_the_night.html
https://agathario.github.io/ficArchive/archive/60055312_youll_just_have_to_taste.html,200,,https://agathario.github.io/ficArchive/archive/60055312_youll_just_have_to_taste.html
https://agathario.github.io/ficArchive/archive/60133222_heavy_is_the_crown.html,200,,https://agathario.github.io/ficArchive/archive/60133222_heavy_is_the_crown.html
https://agathario.github.io/ficArchive/archive/60137950_all_roads_lead_to_this.html,200,,https://agathario.github.io/ficArchive/archive/60137950_all_roads_lead_to_this.html
https://agathario.github.io/ficArchive/archive/60165511_dont_be_afraid_of_me_im.html,200,,https://agathario.github.io/ficArchive/archive/60165511_dont_be_afraid_of_me_im.html
https://agathario.github.io/ficArchive/archive/60190921_devotion_is_for_fools.html,200,,https://agathario.github.io/ficArchive/archive/60190921_devotion_is_for_fools.html
https://agathario.github.io/ficArchive/archive/60208747_i_looked_to_the_children.html,200,,https://agathario.github.io/ficArchive/archive/60208747_i_looked_to_the_children.html
https://agathario.github.io/ficArchive/archive/60223375_there_is_no_death_for.html,200,,https://agathario.github.io/ficArchive/archive/60223375_there_is_no_death_for.html
https://agathario.github.io/ficArchive/archive/60229678_the_neutral_ground.html,200,,https://agathario.github.io/ficArchive/archive/60229678_the_neutral_ground.html
https://agathario.github.io/ficArchive/archive/60245707_i_could_not_stop_for.html,200,,https://agathario.github.io/ficArchive/archive/60245707_i_could_not_stop_for.html
https://agathario.github.io/ficArchive/archive/60263902_creator_you_destroy_me.html,200,,https://agathario.github.io/ficArchive/archive/60263902_creator_you_destroy_me.html
https://agathario.github.io/ficArchive/archive/60277843_blossoms_and_birds.html,200,,https://agathario.github.io/ficArchive/archive/60277843_blossoms_and_birds.html
https://agathario.github.io/ficArchive/archive/60284353_rios_toxic_embrace.html,200,,https://agathario.github.io/ficArchive/archive/60284353_rios_toxic_embrace.html
https://agathario.github.io/ficArchive/archive/60284566_behind_the_curtain.html,200,,https://agathario.github.io/ficArchive/archive/60284566_behind_the_curtain.html
https://agathario.github.io/ficArchive/archive/60293302_happiest_season.html,200,,https://agathario.github.io/ficArchive/archive/60293302_happiest_season.html
https://agathario.github.io/ficArchive/archive/60307105_when_we_kiss_i_have.html,200,,https://agathario.github.io/ficArchive/archive/60307105_when_we_kiss_i_have.html
https://agathario.github.io/ficArchive/archive/60315637_the_road_twists_and.html,200,,https://agathario.github.io/ficArchive/archive/60315637_the_road_twists_and.html
https://agathario.github.io/ficArchive/archive/60318415_but_i_love_you_just_the.html,200,,https://agathario.github.io/ficArchive/archive/60318415_but_i_love_you_just_the.html
https://agathario.github.io/ficArchive/archive/60328030_the_art_of_keeping_a.html,200,,https://agathario.github.io/ficArchive/archive/60328030_the_art_of_keeping_a.html
https://agathario.github.io/ficArchive/archive/60369481_and_fill_my_blank_page.html,200,,https://agathario.github.io/ficArchive/archive/60369481_and_fill_my_blank_page.html
https://agathario.github.io/ficArchive/archive/60392944_unmoored_by_your.html,200,,https://agathario.github.io/ficArchive/archive/60392944_unmoored_by_your.html
https://agathario.github.io/ficArchive/archive/60415315_im_leaving_here_with_you.html,200,,https://agathario.github.io/ficArchive/archive/60415315_im_leaving_here_with_you.html
https://agathario.github.io/ficArchive/archive/60415588_broken_deal.html,200,,https://agathario.github.io/ficArchive/archive/60415588_broken_deal.html
https://agathario.github.io/ficArchive/archive/60416161_she_gets_the_job_done.html,200,,https://agathario.github.io/ficArchive/archive/60416161_she_gets_the_job_done.html
https://agathario.github.io/ficArchive/archive/60417100_the_scientific_method_of.html,200,,https://agathario.github.io/ficArchive/archive/60417100_the_scientific_method_of.html
https://agathario.github.io/ficArchive/archive/60437284_hopeless_breathless.html,200,,https://agathario.github.io/ficArchive/archive/60437284_hopeless_breathless.html
https://agathario.github.io/ficArchive/archive/60439222_ill_follow_you_down_til.html,200,,https://agathario.github.io/ficArchive/archive/60439222_ill_follow_you_down_til.html
https://agathario.github.io/ficArchive/archive/60444544_giving_my_heart_over_to.html,200,,https://agathario.github.io/ficArchive/archive/60444544_giving_my_heart_over_to.html
https://agathario.github.io/ficArchive/archive/60465982_not_over_dramatic_i_know_what_i_want.html,200,,https://agathario.github.io/ficArchive/archive/60465982_not_over_dramatic_i_know_what_i_want.html
https://agathario.github.io/ficArchive/archive/60466387_in_the_deep_end.html,200,,https://agathario.github.io/ficArchive/archive/60466387_in_the_deep_end.html
https://agathario.github.io/ficArchive/archive/60468748_fold_your_wings.html,200,,https://agathario.github.io/ficArchive/archive/60468748_fold_your_wings.html
https://agathario.github.io/ficArchive/archive/60469915_here_with_you_now.html,200,,https://agathario.github.io/ficArchive/archive/60469915_here_with_you_now.html
https://agathario.github.io/ficArchive/archive/60521194_a_witch_in_salem.html,200,,https://agathario.github.io/ficArchive/archive/60521194_a_witch_in_salem.html
https://agathario.github.io/ficArchive/archive/60532861_she_drives_me_crazy.html,200,,https://agathario.github.io/ficArchive/archive/60532861_she_drives_me_crazy.html
https://agathario.github.io/ficArchive/archive/60538387_disdainfully_hers.html,200,,https://agathario.github.io/ficArchive/archive/60538387_disdainfully_hers.html
https://agathario.github.io/ficArchive/archive/60550129_beneath_the_stars.html,200,,https://agathario.github.io/ficArchive/archive/60550129_beneath_the_stars.html
https://agathario.github.io/ficArchive/archive/60563395_the_way_i_feel_about_you.html,200,,https://agathario.github.io/ficArchive/archive/60563395_the_way_i_feel_about_you.html
https://agathario.github.io/ficArchive/archive/60596422_sugar_and_honey.html,200,,https://agathario.github.io/ficArchive/archive/60596422_sugar_and_honey.html
https://agathario.github.io/ficArchive/archive/60612217_the_peculiar_patient.html,200,,https://agathario.github.io/ficArchive/archive/60612217_the_peculiar_patient.html
