filename,created,last_updated,summary
agathario_fake_dating_au.html,2025-07-26 21:35:52,2026-04-27 23:48:13,"Agatha and her friends have been planning their holiday getaway for months, and the trip is almost upon them. Better yet, Agatha promised them that they would finally get to meet her girlfriend on this trip. There’s only one problem: Agatha has been lying to them. She hasn’t dated anyone in over a year. Enter Rio Vidal. Agatha’s coworker is skeptical of this plan, but after a little convincing, she agrees to being the fake girlfriend. Now all that’s left to do is survive the vacation. (Or, Agathario Fake Dating AU, plus a healthy serving of winter themed fluff)"
alambre_pua.html,2025-09-15 18:25:53,2026-04-27 23:48:13,"Agatha and Rio met by chance, hit it off instantly, and share a night neither of them forgot. But what could’ve turned into something more got sidetracked by a bit of bad timing and miscommunication. Can they really keep it casual? —Or the friends with benefits au"
albatross.html,2025-09-15 18:25:52,2026-04-27 23:48:13,"In a grab for political power, Rio finds herself in an arranged marriage with the heir to the Harkness Empire. Resigned to her duties as a filial daughter, Rio believes she will be able to swallow her pride and live in a loveless marriage for the rest of her life. That is until she meets her soon-to-be sister-in-law, the black sheep of the family, Agatha."
all_in_paradise.html,2026-02-21 12:42:18,2026-04-27 23:48:13,"Almost a year after first turning up on Valentine's Day with a baby raccoon in tow, the lives of Rio and Agatha Harkness-Vidal have been anything but normal. A year of laughter, a year of adventure, and a year of unforeseen circumstance after unforeseen circumstance have all culminated in a home life neither of them could have predicted. While sticking to their mandate of never having children, it's become an after-thought to the ones they've found. In indulging both the animals and her own inner child, Agatha provides a little fun and chaos for the five of them and a new friend appears, leaving Rio wonder if life, in any way, could ever be any better."
all_roads_lead_to_this.html,2025-07-26 21:35:52,2026-04-27 23:48:13,"Pop icon and lead singer of Sisters of the Craft, Agatha Harkness is the epitome of too cool for you, especially when it comes to Lady Death, rockstar and one half of the rock duo The Court, who just loves to antagonize Agatha unprovoked. Lady Death who is also her wife. A story in three parts, followed by a series of epilogues because why not"
all_the_things_we_could_do.html,2025-07-26 21:35:52,2026-04-27 23:48:13,"Agatha and Rio are engaged and ready to start their life together, but just because they're adults doesn't mean they can't rush into a few things."
all_the_time_in_the_world.html,2026-02-21 12:42:18,2026-04-27 23:48:13,"When Agatha makes a bad decision and has to suffer the consequences, she isn't the only one suffering. Rio loves her wife more than anything in the world, but Agatha's lack of ability in the bedroom leads to her mounting frustration and inability to curb her tongue. When Zap makes a new friend that Agatha highly disapproves of, things are said that aren't meant and the road to reconciliation appears to be shorter than it might have at first."
amor_prohibido.html,2025-07-26 21:35:52,2026-04-27 23:48:13,"Agatha is a legacy at Westview Academy, born into privilege in terms of wealth but not in terms of affection or love of any kind. She does what she can to fit in according to her parents' standards, but there's a basketball player at her school that might be turning that all on its head. Agatha All Along Week Day Seven: Forbidden AU Oh, what was that? You thought I WASN'T going to incorporate my love for Selena into a fanfiction that is literally ABOUT forbidden love? ha. HA."
an_unexpected_visitor.html,2025-07-26 21:35:52,2026-04-27 23:48:13,"The Darkhold's magic wavers for a mere moment as Wanda completes her enchantment over the town of Westview, yet a mere moment is all it takes for the shroud of Agatha's secrecy to slip and for Rio to find her. Agatha's camouflage fails long before Wanda steals her magic, Rio find her at the beginning of Wandavision, chaos ensues. X Rio however, didn’t look upset at all to see her. If anything she looked thrilled, shooting a wolfish grin at Agatha over Wanda’s shoulder, as if to say found you bitch . “Hello,” Wanda’s voice, which startled Agatha back into the present, was both infuriatingly pleasant and welcoming, “can I help you with something?” Rio’s sharp grin remained in place as those dark eyes of hers continued their slow perusal of Agatha's figure, taking her in from the bottom of her kitten heels, to the perfectly pinned dark curls around her face. At long last, her gaze slid away from holding Agatha hostage to answer Wanda’s question. “Hi neighbour, I was just passing by and thought it polite to introduce myself. I’m Rita Valdez, I live at number 17, just right down the street from here”."
and_fill_my_blank_page.html,2025-07-26 21:35:52,2026-04-27 23:48:13,"“Oh my god,” Billy says, and when Rio glances up, they’re all staring at her: Billy, Eddie, Alice, Jen. “You and Agatha went on a date.” Rio scoffs. “It wasn’t a date. It was just dinner.” “So you just rolled out of bed and let her buy you an expensive dinner?” Jen says, which makes Alice snort. “Sounds like you have a sugar mama,” Alice says. “I guess that’s one way of surviving academia.” They all laugh, and Alice raises her water glass to salute Rio. “No judgment,” she adds. “I would kill for a hot older professor buying me dinner and helping me with my writing.” - Rio's POV."
